"anio","mes","mes_num","dia","dia_semana_num","fecha_mes","id_fecha"
2019,"Enero",1,"Martes",2,"2019-01-01","Row0"
2019,"Enero",1,"Miercoles",3,"2019-01-01","Row117"
2019,"Enero",1,"Jueves",4,"2019-01-01","Row165"
2019,"Enero",1,"Viernes",5,"2019-01-01","Row207"
2019,"Enero",1,"Sabado",6,"2019-01-01","Row265"
2019,"Enero",1,"Domingo",7,"2019-01-01","Row323"
2019,"Enero",1,"Lunes",1,"2019-01-01","Row400"
2019,"Febrero",2,"Viernes",5,"2019-02-01","Row1851"
2019,"Febrero",2,"Sabado",6,"2019-02-01","Row1935"
2019,"Febrero",2,"Domingo",7,"2019-02-01","Row2025"
2019,"Febrero",2,"Lunes",1,"2019-02-01","Row2110"
2019,"Febrero",2,"Martes",2,"2019-02-01","Row2165"
2019,"Febrero",2,"Miercoles",3,"2019-02-01","Row2224"
2019,"Febrero",2,"Jueves",4,"2019-02-01","Row2278"
2019,"Marzo",3,"Viernes",5,"2019-03-01","Row3726"
2019,"Marzo",3,"Sabado",6,"2019-03-01","Row3796"
2019,"Marzo",3,"Domingo",7,"2019-03-01","Row3912"
2019,"Marzo",3,"Lunes",1,"2019-03-01","Row4020"
2019,"Marzo",3,"Martes",2,"2019-03-01","Row4100"
2019,"Marzo",3,"Miercoles",3,"2019-03-01","Row4174"
2019,"Marzo",3,"Jueves",4,"2019-03-01","Row4231"
2019,"Abril",4,"Lunes",1,"2019-04-01","Row5734"
2019,"Abril",4,"Martes",2,"2019-04-01","Row5796"
2019,"Abril",4,"Miercoles",3,"2019-04-01","Row5841"
2019,"Abril",4,"Jueves",4,"2019-04-01","Row5899"
2019,"Abril",4,"Viernes",5,"2019-04-01","Row5956"
2019,"Abril",4,"Sabado",6,"2019-04-01","Row6015"
2019,"Abril",4,"Domingo",7,"2019-04-01","Row6119"
2019,"Mayo",5,"Miercoles",3,"2019-05-01","Row7687"
2019,"Mayo",5,"Jueves",4,"2019-05-01","Row7752"
2019,"Mayo",5,"Viernes",5,"2019-05-01","Row7819"
2019,"Mayo",5,"Sabado",6,"2019-05-01","Row7900"
2019,"Mayo",5,"Domingo",7,"2019-05-01","Row7984"
2019,"Mayo",5,"Lunes",1,"2019-05-01","Row8075"
2019,"Mayo",5,"Martes",2,"2019-05-01","Row8131"
2019,"Junio",6,"Sabado",6,"2019-06-01","Row9607"
2019,"Junio",6,"Domingo",7,"2019-06-01","Row9691"
2019,"Junio",6,"Lunes",1,"2019-06-01","Row9781"
2019,"Junio",6,"Martes",2,"2019-06-01","Row9834"
2019,"Junio",6,"Miercoles",3,"2019-06-01","Row9888"
2019,"Junio",6,"Jueves",4,"2019-06-01","Row9947"
2019,"Junio",6,"Viernes",5,"2019-06-01","Row9991"
2019,"Diciembre",12,"Miercoles",3,"2019-12-01","Row11339"
2019,"Diciembre",12,"Viernes",5,"2019-12-01","Row11478"
2019,"Julio",7,"Lunes",1,"2019-07-01","Row11638"
2019,"Julio",7,"Martes",2,"2019-07-01","Row11702"
2019,"Julio",7,"Miercoles",3,"2019-07-01","Row11762"
2019,"Julio",7,"Jueves",4,"2019-07-01","Row11822"
2019,"Julio",7,"Viernes",5,"2019-07-01","Row11879"
2019,"Julio",7,"Sabado",6,"2019-07-01","Row11950"
2019,"Julio",7,"Domingo",7,"2019-07-01","Row12048"
2019,"Agosto",8,"Jueves",4,"2019-08-01","Row13668"
2019,"Agosto",8,"Viernes",5,"2019-08-01","Row13730"
2019,"Agosto",8,"Sabado",6,"2019-08-01","Row13814"
2019,"Agosto",8,"Domingo",7,"2019-08-01","Row13904"
2019,"Agosto",8,"Lunes",1,"2019-08-01","Row14022"
2019,"Agosto",8,"Martes",2,"2019-08-01","Row14093"
2019,"Agosto",8,"Miercoles",3,"2019-08-01","Row14140"
2019,"Septiembre",9,"Domingo",7,"2019-09-01","Row15739"
2019,"Septiembre",9,"Lunes",1,"2019-09-01","Row15833"
2019,"Septiembre",9,"Martes",2,"2019-09-01","Row15898"
2019,"Septiembre",9,"Miercoles",3,"2019-09-01","Row15958"
2019,"Septiembre",9,"Jueves",4,"2019-09-01","Row16023"
2019,"Septiembre",9,"Viernes",5,"2019-09-01","Row16069"
2019,"Septiembre",9,"Sabado",6,"2019-09-01","Row16140"
2019,"Diciembre",12,"Martes",2,"2019-12-01","Row16432"
2019,"Octubre",10,"Martes",2,"2019-10-01","Row17757"
2019,"Octubre",10,"Miercoles",3,"2019-10-01","Row17801"
2019,"Octubre",10,"Jueves",4,"2019-10-01","Row17842"
2019,"Octubre",10,"Viernes",5,"2019-10-01","Row17885"
2019,"Octubre",10,"Sabado",6,"2019-10-01","Row17940"
2019,"Octubre",10,"Domingo",7,"2019-10-01","Row18006"
2019,"Octubre",10,"Lunes",1,"2019-10-01","Row18089"
2019,"Noviembre",11,"Viernes",5,"2019-11-01","Row19497"
2019,"Noviembre",11,"Sabado",6,"2019-11-01","Row19591"
2019,"Diciembre",12,"Sabado",6,"2019-12-01","Row19693"
2019,"Noviembre",11,"Domingo",7,"2019-11-01","Row19694"
2019,"Noviembre",11,"Lunes",1,"2019-11-01","Row19777"
2019,"Noviembre",11,"Martes",2,"2019-11-01","Row19842"
2019,"Noviembre",11,"Miercoles",3,"2019-11-01","Row19887"
2019,"Noviembre",11,"Jueves",4,"2019-11-01","Row19940"
2019,"Diciembre",12,"Domingo",7,"2019-12-01","Row21521"
2019,"Diciembre",12,"Lunes",1,"2019-12-01","Row21637"
2019,"Diciembre",12,"Jueves",4,"2019-12-01","Row21817"
