provincia,total_siniestros,total_fallecidos_sppat,total_vehiculos,poblacion_total,siniestros_por_100k_hab,fallecidos_por_100k_hab,siniestros_por_10k_vehiculos,indice_siniestros,indice_fallecidos,indice_vehiculos,indice_riesgo_vial,ranking_riesgo
SANTO DOMINGO DE LOS TSACHILAS,1161,112,80280,492969.0,235.51176645995997,22.719481346697258,144.61883408071748,98.14762380535707,66.45937813118675,65.36690877332433,78.9161825292824,1
TUNGURAHUA,1350,129,101471,563532.0,239.56048636102298,22.89133536338664,133.04293837648197,100.0,67.05359131084136,59.39641250258079,78.7007190248527,2
GUAYAS,8853,712,529908,4391923.0,201.57457223179915,16.211577479841974,167.0667361126837,82.62062953620227,43.95724333034569,76.94485650127703,66.0201204468746,3
CHIMBORAZO,574,153,69578,471933.0,121.6274344027648,32.419856208402464,82.49734111357039,46.04309921471528,100.0,33.326524895499155,65.08254466498595,4
SANTA ELENA,600,67,28333,385735.0,155.54720209470233,17.369437567241757,211.76719726114425,61.56212046977083,47.9607326719566,100.0,63.80914125669098,5
LOS RIOS,962,283,121206,898652.0,107.04922483898106,31.491611880906067,79.36900813491081,39.37325565517965,96.79044444835459,31.71302552923439,60.80808514726058,6
PICHINCHA,4757,475,521946,3089473.0,153.97448043727846,15.374790457790048,91.13969644369341,60.84256657861465,41.06391626912321,37.783989923458975,48.31939112378694,7
AZUAY,1241,117,145729,801609.0,154.81363108448133,14.595644509979305,85.15806737162816,61.22649599842699,38.36989258563596,34.69884688310923,46.77832481024703,8
LOJA,619,69,63283,485421.0,127.51817494504769,14.214465381596593,97.8145789548536,48.738239361722684,37.05190382833128,41.226692083081204,42.561395692637824,9
NAPO,64,34,8895,131675.0,48.60451870134802,25.821150560091134,71.95053400786959,12.633549032395477,77.18390328941305,27.886801343930003,41.50434119750941,10
MORONA SANTIAGO,134,40,13907,192508.0,69.60749683130052,20.77835726307478,96.35435392248507,22.242862014090058,59.747626284744904,40.473552254168204,40.890905770367624,11
MANABI,1694,262,198801,1592840.0,106.35092036864971,16.448607518645943,85.2108389796832,39.05376638225788,44.776813194027895,34.72606487963787,40.47744480644189,12
BOLIVAR,134,47,23108,199078.0,67.31030048523695,23.608836737359226,57.988575385147996,21.19184541381805,69.53446886638542,20.685646114211195,40.42765493492363,13
COTOPAXI,121,145,67665,470210.0,25.733183045873123,30.83728546819506,17.882213847631714,2.1694224088752474,94.52800458387506,0.0,38.67897079710012,14
IMBABURA,387,88,51637,469879.0,82.36162927051433,18.728225777274577,74.94625946511222,28.07815116499422,52.65896363748662,29.43190576847093,38.18122707468653,15
ORELLANA,71,48,17044,182166.0,38.97543998331192,26.34959322815454,41.656888054447315,8.228038987368707,79.01107965749681,12.262256616392838,37.34809878122477,16
EL ORO,516,133,112297,714592.0,72.20903676503515,18.612019166181543,45.94958013125907,23.43312233350551,52.257160402364775,14.476297127027134,33.17137251975354,17
CARCHI,87,36,20322,172828.0,50.33906542921285,20.829958108639804,42.810746973723056,13.427141364220901,59.92604459062295,12.857382086638683,31.912750799265282,18
ZAMORA CHINCHIPE,66,19,10473,110973.0,59.47392609013003,17.12128175321925,63.01919220853624,17.60653604776529,47.10269363312163,23.280285851038613,30.539749042562494,19
SUCUMBIOS,73,45,27927,199014.0,36.680836524063636,22.611474569628268,26.13957818598489,7.178208688428825,66.08592715423107,4.2588983390952455,30.157434004883008,20
CANAR,80,52,39545,227578.0,35.15278278216699,22.849308808408544,20.230117587558475,6.4790913266964845,66.90827766997022,1.2109776108442685,29.597143120835536,21
PASTAZA,37,22,10997,111915.0,33.06080507528035,19.657775990707233,33.645539692643446,5.521966655527439,55.873034501892235,8.130245864060624,26.184049635779996,22
ESMERALDAS,190,81,45148,553900.0,34.30222061743997,14.62357826322441,42.08381323646673,6.08994089285427,38.46647807519982,12.482451690040643,20.319057925229764,23
GALAPAGOS,6,1,2460,28583.0,20.99149844313053,3.4985830738550883,24.390243902439025,0.0,0.0,3.356644718032218,0.6713289436064436,24
