mes_num,mes,total_siniestros,total_fallecidos,total_lesionados,total_victimas,precipitacion_promedio,estaciones_precipitacion,temperatura_promedio,estaciones_temperatura
1,ENERO,1851,165,1516,1681,180.30555555555554,18,18.538888888888888,18
2,FEBRERO,1875,155,1424,1579,218.39444444444445,18,18.816666666666666,18
3,MARZO,2008,185,1516,1701,225.8235294117647,17,18.72941176470588,17
4,ABRIL,1953,193,1579,1772,197.52,15,19.1,15
5,MAYO,1920,174,1673,1847,172.34666666666666,15,18.8,15
6,JUNIO,2029,173,1657,1830,81.6923076923077,13,18.15,14
7,JULIO,2030,149,1655,1804,40.728571428571435,14,17.607692307692307,13
8,AGOSTO,2071,188,1846,2034,30.65833333333333,12,17.125,12
9,SEPTIEMBRE,2017,201,1571,1772,49.872727272727275,11,17.772727272727273,11
10,OCTUBRE,1739,141,1561,1702,107.10909090909091,11,17.40909090909091,11
11,NOVIEMBRE,2023,218,1694,1912,112.7,10,17.59,10
12,DICIEMBRE,2261,236,1877,2113,120.6375,8,17.2125,8
